UserId,Id,LikedByUser,DisLikedByUser,Subject,Industry,Function,TypeOfService,AdditionalInfo,Type,TimeLine,CreatedTime,ExpertiseLevel,Award,Image
4fa876dc-4687-11ea-9914-0242ac1c0002,471f5a3f-b509-4a2b-90b5-f9da4eba13d8,uuid,uuid,business,Communication Services,Distribution,Energy,Energy services such as metered power from a grid or managed solar panel systems.,provider,5 weeks,23-02-1998 22:56:12,3,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Communication%20Services.jpg
4fa87970-4687-11ea-9914-0242ac1c0002,090809bc-0da2-429d-8c15-791a001c19a5,uuid,uuid,personal,Energy,Sourcing,Real Estate,UNKNOWN,seeker,4 weeks,18-06-2015 08:39:21,2,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Energy.jpeg
4fa87a1a-4687-11ea-9914-0242ac1c0002,4bf36ae4-58b5-48f3-8dce-67a62dbf9c84,uuid,uuid,personal,UNKNOWN,Information Technology,Retail,UNKNOWN,seeker,2 weeks,02-11-1991 04:44:32,3,UNKNOWN,UNKNOWN
4fa87a9c-4687-11ea-9914-0242ac1c0002,0755b2a9-f374-4f75-a6c7-b55fba05b3ee,uuid,uuid,UNKNOWN,Communication Services,Strategy,Tourism,Travel services such as a flight or tour.,provider,2 weeks,10-04-1990 19:15:52,1,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Communication%20Services.jpg
4fa87bb4-4687-11ea-9914-0242ac1c0002,ef854723-fc9d-4512-800c-3fe03be178b7,uuid,uuid,social,Materials,Governance,Hospitality,"Any service that hosts guests such as a hotel, restaurant or pub.",seeker,2 weeks,11-03-2017 21:17:34,3,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Materials%20.jpg
4fa87c36-4687-11ea-9914-0242ac1c0002,90d88c9c-a5fb-41b0-b96b-77325fffbd41,uuid,uuid,personal,Communication Services,Human Resources,Real Estate,UNKNOWN,seeker,4 weeks,12-05-2012 08:52:10,2,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Communication%20Services.jpg
4fa87ca4-4687-11ea-9914-0242ac1c0002,855de3dd-0601-4555-9992-08b80432a131,uuid,uuid,business,Information Technology,Human Resources,Trade,UNKNOWN,seeker,1 weeks,18-02-1965 15:51:20,2,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Information%20Technology.jpg
4fa87d12-4687-11ea-9914-0242ac1c0002,70ded043-2ef2-4213-b25b-fcf1c3afc04f,uuid,uuid,UNKNOWN,Information Technology,Information Technology,Hospitality,"Any service that hosts guests such as a hotel, restaurant or pub.",seeker,1 weeks,27-01-1984 05:00:46,3,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Information%20Technology.jpg
4fa87d80-4687-11ea-9914-0242ac1c0002,196bdbfd-dae8-4998-a833-58be49d7d4db,uuid,uuid,business,Health Care,Human Resources,Culture,UNKNOWN,provider,3 weeks,15-04-2000 08:53:51,3,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Health%20Care.jpg
4fa87df8-4687-11ea-9914-0242ac1c0002,bab19aac-8eb7-4553-9d6f-da90abeaf33b,uuid,uuid,business,Financials,Operations,Finance,"Financial services such as a bank that offers bank accounts, loans and investments.",provider,1 weeks,06-12-1988 23:19:35,3,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Financials.jpg
4fa87e70-4687-11ea-9914-0242ac1c0002,ab1601ed-2ebc-4204-abd9-f5c743e8cb69,uuid,uuid,business,Energy,Finance,Ecommerce,UNKNOWN,provider,5 weeks,08-07-1971 23:44:23,1,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Energy.jpeg
4fa87ede-4687-11ea-9914-0242ac1c0002,b2b22c23-a35b-4f4b-a005-b27f35921d93,uuid,uuid,personal,Energy,Human Resources,Product as a Service,UNKNOWN,seeker,6 weeks,01-06-2008 17:37:10,3,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Energy.jpeg
4fa87f56-4687-11ea-9914-0242ac1c0002,c5d12994-3909-424d-b7d9-a57959e11959,uuid,uuid,personal,Health Care,Distribution,Retail,UNKNOWN,provider,5 weeks,06-01-1962 00:15:53,3,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Health%20Care.jpg
4fa87fce-4687-11ea-9914-0242ac1c0002,31f0279b-ce42-47e3-97d8-e2af21a6157b,uuid,uuid,social,Communication Services,Strategy,Accounting and Auditing,UNKNOWN,seeker,4 weeks,20-01-2015 11:12:08,1,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Communication%20Services.jpg
4fa88046-4687-11ea-9914-0242ac1c0002,870c3ce3-927f-4661-9169-173137c0cea6,uuid,uuid,business,Health Care,Strategy,Asset Rentals,UNKNOWN,seeker,4 weeks,25-07-1998 11:49:54,2,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Health%20Care.jpg
4fa880c8-4687-11ea-9914-0242ac1c0002,a09566db-e314-412f-bc80-d401cfaaf673,uuid,uuid,social,Consumer Discretionary,Design,Construction,UNKNOWN,provider,3 weeks,11-12-2000 00:00:30,1,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Consumer%20Discretionary.jpg
4fa88136-4687-11ea-9914-0242ac1c0002,c5110fa6-e15e-4bfc-b0d2-7770c5f3037e,uuid,uuid,social,Real Estate,Human Resources,Education,UNKNOWN,seeker,6 weeks,07-05-2019 20:55:20,2,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Real%20Estate.png
4fa881a4-4687-11ea-9914-0242ac1c0002,9733f351-a3d0-4f08-a5ad-9c8a9bc28e0c,uuid,uuid,personal,Consumer Staples,Finance,Trade,UNKNOWN,provider,2 weeks,17-11-1990 04:41:30,3,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Consumer%20Staples.jpg
4fa88226-4687-11ea-9914-0242ac1c0002,c762981e-97cb-4af5-92ed-9a061d448b4b,uuid,uuid,social,Consumer Staples,Finance,Professional Services,The services of a recognized professional such as a lawyer or accountant.,seeker,4 weeks,08-05-1999 11:24:14,1,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Consumer%20Staples.jpg
4fa88294-4687-11ea-9914-0242ac1c0002,3d61a4ef-6c9d-4201-89c0-5c443dcc57ba,uuid,uuid,UNKNOWN,Materials,Governance,Entertainment,"Entertainment such as a video game, theme park or movie.",seeker,6 weeks,25-05-1977 13:02:41,1,UNKNOWN,https://interestimage.s3.ap-south-1.amazonaws.com/Materials%20.jpg
